63	5	5	0.0150900	326.5891319	0.1000	0.050000
61	20	20	0.0141510	1410.4436440	1.0750	0.231250
60	30	30	0.0114440	2602.2421360	3.6750	0.662500
59	60	60	0.0047590	12549.6757700	7.3500	0.912500
58	90	90	0.0043840	20533.4783300	8.4750	1.087500
56	120	120	0.0037750	31688.2177500	11.9000	1.343750
55	150	150	0.0034780	42992.3496300	15.9250	1.431250
54	180	180	0.0032660	55118.1861600	17.8750	1.606250
53	210	210	0.0031470	66730.1280600	22.6750	1.918750
52	240	240	0.0031940	74888.6518500	25.2750	2.218750
51	270	270	0.0031380	85754.4961800	28.1500	2.537500
50	300	300	0.0033950	88069.0359400	40.5000	2.875000
