Sample	Time	Voltage	Current	Resistance	Thickness	Mass/area
77	10	5	0.0147510	336.0275236	0.4000	0.037500
76	20	10	0.0077020	1295.9461180	1.1250	0.143750
75	40	20	0.0104960	1900.4806590	6.0000	0.518750
74	60	30	0.0060120	4967.9424480	5.9500	0.656250
73	120	60	0.0030780	19436.1114400	6.8750	1.006250
72	180	90	0.0024420	36863.7108900	8.5250	1.181250
71	240	120	0.0021380	55951.8914900	13.5250	1.412500
70	300	150	0.0020650	72411.2784500	19.1500	1.818750
68	360	180	0.0020380	88329.8287500	23.5750	2.012500
67	420	210	0.0019890	105580.2353000	30.5750	2.306250
66	480	240	0.0022070	108379.0299000	30.5500	2.750000
65	540	270	0.0024700	108947.0328000	35.0000	3.356250
64	600	300	0.0029270	102151.8025000	45.2000	3.575000
