0.00	-1.538846153846150E-03	5.253846153846150E-05	-2.185230213439780E+01	1.304680912722980E-03	3.493205577560610E-05	1.211660669749630E+01
0.10	2.112000000000000E-03	2.976923076923080E-04	2.243630939481600E+01	4.338893956900860E-03	4.416489006884200E-04	4.653192243729270E+01
0.20	4.346873076923080E-01	5.029230769230770E-04	4.293264393082490E+03	3.276762354093740E-01	4.409508016405640E-04	8.165867397410460E+03
0.30	4.815923846153850E-01	3.797692307692310E-04	6.421854750202590E+03	2.764227367325240E-01	3.235895200941970E-04	9.722892553334060E+03
0.40	4.990936923076920E-01	4.066153846153850E-04	7.732002238366680E+03	2.615391090894250E-01	2.992466280155860E-04	1.292911612203310E+04
0.50	5.475644615384620E-01	4.333076923076920E-04	1.017148849655550E+04	2.226087656262280E-01	3.219938806430920E-04	1.768740201340690E+04
0.60	6.176754615384620E-01	4.185384615384620E-04	1.156280348298340E+04	1.782932833048770E-01	3.124148167924810E-04	2.014601684606410E+04
0.70	6.939537692307690E-01	5.906923076923080E-04	1.336686450285940E+04	1.507826035013290E-01	5.018682610798280E-04	2.383184432675710E+04
0.80	7.979376923076920E-01	7.448461538461540E-04	1.357649818518050E+04	1.723415912400020E-01	6.433643358463800E-04	2.864852661990180E+04
0.90	9.037612307692310E-01	7.850000000000000E-04	1.404980935690820E+04	1.962795813857030E-01	6.617283895515300E-04	2.878677687212870E+04
1.00	1.035686307692310E+00	9.403076923076920E-04	9.674478271015540E+03	2.358961487422880E-01	7.224356649147580E-04	2.666532124575810E+04
1.10	1.160603307692310E+00	1.148384615384620E-03	1.147744992499650E+04	2.748770078182890E-01	7.832094266013150E-04	3.541530645080900E+04
1.20	1.322030461538460E+00	1.302153846153850E-03	1.216123966895190E+04	3.083313282539810E-01	7.430877208962250E-04	3.823467183427000E+04
1.30	1.387591076923080E+00	1.302153846153850E-03	1.185295748580210E+04	2.642076922319500E-01	7.208063696203070E-04	3.702707994890980E+04
1.40	1.479284923076920E+00	1.481307692307690E-03	1.326724170573340E+04	2.162443328066540E-01	7.500123470384070E-04	4.217247309598540E+04
1.50	1.535810692307690E+00	1.690769230769230E-03	1.374280480495350E+04	2.015358886590610E-01	9.524601468622960E-04	4.393943628129790E+04
1.60	1.616100076923080E+00	1.864769230769230E-03	1.503272441832310E+04	1.728059893172600E-01	1.205194025480240E-03	4.844868534246200E+04
1.70	1.706703923076920E+00	2.091076923076920E-03	1.596959538256970E+04	1.570258088299070E-01	1.469691828583770E-03	5.165089045562490E+04
1.80	1.806802615384620E+00	2.166461538461540E-03	1.488688174969270E+04	1.685125021965560E-01	1.428041510675730E-03	4.798693120687080E+04
1.90	1.907516000000000E+00	2.445769230769230E-03	1.574863415191840E+04	1.794811555996470E-01	1.546750895057430E-03	5.103613055757890E+04
2.00	2.013436153846150E+00	2.468000000000000E-03	1.675110145811770E+04	1.645837104136210E-01	1.464627492677810E-03	5.460068423220700E+04
2.10	2.140124923076920E+00	2.649076923076920E-03	1.746861261220900E+04	2.224591807011410E-01	1.737846610100180E-03	5.692691607794900E+04
2.20	2.223540769230770E+00	3.070384615384620E-03	1.641696068723610E+04	1.982482656919600E-01	1.799218870615440E-03	5.377779480650820E+04
2.30	2.369131769230770E+00	3.045692307692310E-03	1.922423050587670E+04	2.287186428435110E-01	1.676875913239370E-03	6.345441119529980E+04
2.40	2.443761230769230E+00	3.134846153846150E-03	1.999251852647380E+04	2.156310212837430E-01	1.667528564910630E-03	6.617172748565030E+04
2.50	2.502581615384620E+00	3.243615384615390E-03	1.867288341841870E+04	2.029523727579520E-01	1.643288239076270E-03	6.170052840432810E+04
2.60	2.626112846153850E+00	3.819307692307690E-03	1.940492658021630E+04	1.858766218890890E-01	2.275812665827490E-03	6.439934930948890E+04
2.70	2.738980230769230E+00	4.257076923076920E-03	2.252917699486260E+04	1.787364458638020E-01	2.682405850711070E-03	7.534565465806660E+04
2.80	2.813675538461540E+00	4.684923076923080E-03	2.288275225656010E+04	1.769269547132220E-01	2.944357954344820E-03	7.672536011785660E+04
2.90	2.906676461538460E+00	5.293384615384620E-03	2.391685426468070E+04	1.701262583484190E-01	3.436425435703200E-03	8.044236381790610E+04
