Sample	Time	Voltage	Current	Resistance	Thickness	Mass/area
21	20.0	9.9897580	0.0120610	828.2694635602350	0.9250	0.150000
20	40.0	32.8639240	0.0120370	2730.2420868987300	8.4000	0.993750
19	60.0	289.8593620	0.0119860	24183.1605206074000	19.7750	1.775000
18	80.0	299.9969640	0.0085410	35124.3371970495000	28.1000	2.306250
17	100.0	299.9977720	0.0063590	47176.8787545212000	29.0000	2.693750
16	120.0	299.9996340	0.0051860	57847.9818742769000	30.9750	3.025000
15	140.0	300.0009130	0.0043650	68728.7315005727000	33.9000	3.456250
14	160.0	300.0025820	0.0038110	78720.1737076883000	35.1750	3.281250
13	180.0	300.0019790	0.0036330	82576.9278832921000	36.0000	3.587500
12	200.0	300.0008580	0.0034220	87668.2811221508000	34.3250	3.843750
